,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,31.66,100,90,0.0,AR,1627298168
1,yulara,-25.2406,130.9889,57.04,28,6,0.0,AU,1627298170
2,bambous virieux,-20.3428,57.7575,75.45,69,75,13.8,MU,1627298172
3,simao,22.7886,100.9748,70.54,96,58,2.84,CN,1627298174
4,atuona,-9.8,-139.0333,77.41,73,38,23.6,PF,1627298175
5,arraial do cabo,-22.9661,-42.0278,71.56,68,0,11.5,BR,1627298178
6,esperance,-33.8667,121.9,62.44,54,43,25.17,AU,1627298180
7,neiafu,-18.65,-173.9833,78.01,79,19,8.34,TO,1627298181
8,tuy hoa,13.0833,109.3,88.43,58,65,11.45,VN,1627298142
9,zaltan,32.947,11.8665,94.91,28,0,10.11,LY,1627298185
10,albany,42.6001,-73.9662,69.28,96,0,3.24,US,1627298187
11,general roca,-39.0333,-67.5833,34.2,63,0,5.91,AR,1627298189
12,rikitea,-23.1203,-134.9692,72.34,79,83,14.16,PF,1627298191
13,san quintin,30.4833,-115.95,65.46,92,93,3.91,MX,1627298194
14,kapaa,22.0752,-159.319,80.92,83,40,12.66,US,1627298196
15,lethem,3.3803,-59.7968,74.25,92,88,6.38,GY,1627298198
16,khatanga,71.9667,102.5,70.07,44,56,7.09,RU,1627298201
17,bredasdorp,-34.5322,20.0403,74.52,27,0,17.27,ZA,1627298203
18,alim,9.5649,122.4876,82.2,84,78,12.24,PH,1627298205
19,abdulino,53.7,53.6667,73.44,27,49,8.34,RU,1627298207
20,przhevalskoye,55.5093,31.8482,82.04,33,6,4.83,RU,1627298209
21,dikson,73.5069,80.5464,44.42,86,71,2.75,RU,1627298211
22,tasiilaq,65.6145,-37.6368,46.56,81,0,0.74,GL,1627298213
23,qaanaaq,77.484,-69.3632,40.82,62,91,7.58,GL,1627298216
24,tura,25.5198,90.2201,81.61,90,100,1.66,IN,1627298218
25,kaitangata,-46.2817,169.8464,46.99,92,100,9.51,NZ,1627298220
26,tuatapere,-46.1333,167.6833,47.82,86,98,8.3,NZ,1627298222
27,jamestown,42.097,-79.2353,68.07,98,40,1.01,US,1627298224
28,wuzhou,23.4833,111.3167,87.21,70,85,1.28,CN,1627298103
29,hilo,19.7297,-155.09,73.8,94,90,0.0,US,1627298228
30,chokurdakh,70.6333,147.9167,44.78,61,99,14.97,RU,1627298230
31,clyde river,70.4692,-68.5914,35.83,100,90,8.05,CA,1627298235
32,hithadhoo,-0.6,73.0833,82.04,75,98,9.04,MV,1627298103
33,busselton,-33.65,115.3333,61.05,70,91,27.42,AU,1627298239
34,mataram,-8.5833,116.1167,77.81,77,2,3.96,ID,1627298230
35,lompoc,34.6391,-120.4579,60.48,99,90,0.0,US,1627298243
36,mataura,-46.1927,168.8643,47.48,98,100,5.84,NZ,1627298245
37,thompson,55.7435,-97.8558,33.96,86,20,2.3,CA,1627298246
38,paraiso,9.8383,-83.8656,61.66,94,100,1.66,CR,1627298248
39,murchison,-41.8,172.3333,47.5,99,99,1.14,NZ,1627298250
40,aiken,33.5835,-81.5998,74.1,97,1,0.0,US,1627298251
41,jiayuguan,39.8167,98.3,87.8,13,88,17.43,CN,1627298253
42,haines junction,60.7522,-137.5108,48.15,76,88,3.44,CA,1627298254
43,sur,22.5667,59.5289,101.25,44,22,10.78,OM,1627298257
44,pundaguitan,6.3711,126.1689,84.29,77,97,19.84,PH,1627298259
45,big spring,32.2504,-101.4787,76.48,65,1,4.61,US,1627298260
46,ribeira grande,38.5167,-28.7,75.6,64,20,19.57,PT,1627298262
47,sungai besar,3.6746,100.9867,86.05,70,51,4.47,MY,1627298264
48,ostrovnoy,68.0531,39.5131,48.04,83,98,28.12,RU,1627298265
49,saint george,37.1041,-113.5841,78.64,69,1,1.01,US,1627298268
50,vaini,-21.2,-175.2,75.31,80,97,1.63,TO,1627298269
51,college,64.8569,-147.8028,58.8,80,75,3.44,US,1627298272
52,longyearbyen,78.2186,15.6401,44.44,87,40,13.8,SJ,1627298205
53,bluff,-46.6,168.3333,47.8,82,100,22.28,NZ,1627298275
54,port alfred,-33.5906,26.891,74.25,27,83,11.72,ZA,1627298277
55,ahuimanu,21.4447,-157.8378,80.31,76,75,10.36,US,1627298280
56,katsuura,35.1333,140.3,82.11,72,100,18.3,JP,1627298282
